Site;Zone;Zone.Abb;LAT;LONG;Habitat;FirstSurvey;FirstSurveyDate;Count;Total
3072;;;-4,220319;17,948971;Rivering extend veg;Surv Apr-Jun 2016;5/6/16;1;0
3073;;;-4,489114;17,729208;Fishpond;Surv Apr-Jun 2016;5/10/16;1;0
3074;;;-4,489925;17,728679;Fishpond;Surv Apr-Jun 2016;5/10/16;1;0
3075;;;-4,490405;17,72852;;Surv Apr-Jun 2016;5/10/16;1;0
3076;;;-4,491429;17,728674;;Surv Apr-Jun 2016;5/10/16;1;0
3077;;;-4,491213;17,727971;Fishpond;Surv Apr-Jun 2016;5/10/16;1;0
3078;;;-4,491454;17,72818;Fishpond;Surv Apr-Jun 2016;5/10/16;1;0
3079;;;-4,492379;17,727587;Fishpond;Surv Apr-Jun 2016;5/10/16;1;0
3080;;;-4,492367;17,727371;;Surv Apr-Jun 2016;5/10/16;1;0
3081;;;-4,49446;17,726984;;Surv Apr-Jun 2016;5/10/16;1;0
3082;;;-4,495389;17,726956;;Surv Apr-Jun 2016;5/10/16;1;0
3083;;;-4,49638;17,72578;;Surv Apr-Jun 2016;5/10/16;1;0
3084;;;-4,490946;17,70233;;Surv Apr-Jun 2016;5/10/16;1;0
3086;;;-4,490955;17,702222;;Surv Apr-Jun 2016;5/10/16;1;0
3087;;;-4,490765;17,70236;;Surv Apr-Jun 2016;5/10/16;1;0
3088;;;-4,490591;17,702498;;Surv Apr-Jun 2016;5/10/16;1;0
3089;;;-4,490755;17,702703;;Surv Apr-Jun 2016;5/10/16;1;0
3090;;;-4,490681;17,702806;;Surv Apr-Jun 2016;5/10/16;1;0
3091;;;-4,490247;17,702787;;Surv Apr-Jun 2016;5/10/16;1;1
3092;;;-4,489826;17,702999;;Surv Apr-Jun 2016;5/10/16;1;1
3093;;;-4,489563;17,703464;;Surv Apr-Jun 2016;5/10/16;1;0
3094;;;-4,489276;17,70378;;Surv Apr-Jun 2016;5/10/16;1;0
3095;;;-4,489038;17,704159;;Surv Apr-Jun 2016;5/10/16;1;0
3096;;;-4,488794;17,704524;;Surv Apr-Jun 2016;5/10/16;1;0
3097;;;-4,488487;17,704838;;Surv Apr-Jun 2016;5/10/16;1;0
3098;;;-4,488131;17,705187;;Surv Apr-Jun 2016;5/10/16;1;0
3099;;;-4,487837;17,705493;;Surv Apr-Jun 2016;5/10/16;1;0
3100;;;-4,487493;17,705744;;Surv Apr-Jun 2016;5/10/16;1;0
3101;;;-4,487195;17,70611;;Surv Apr-Jun 2016;5/10/16;1;0
3102;;;-4,486803;17,706377;;Surv Apr-Jun 2016;5/10/16;1;0
3103;;;-4,486367;17,706554;;Surv Apr-Jun 2016;5/10/16;1;0
3104;;;-4,485968;17,706868;;Surv Apr-Jun 2016;5/10/16;1;0
3105;;;-4,482723;17,712737;;Surv Apr-Jun 2016;5/10/16;1;0
3106;;;-4,494909;17,784878;Small river;Surv Apr-Jun 2016;5/11/16;1;0
3107;;;-4,49436;17,785172;Fishpond;Surv Apr-Jun 2016;5/11/16;1;0
3108;;;-4,494758;17,784546;Fishpond;Surv Apr-Jun 2016;5/11/16;1;0
3109;;;-4,494317;17,78432;Fishpond;Surv Apr-Jun 2016;5/11/16;1;0
3110;;;-4,494433;17,783604;Fishpond;Surv Apr-Jun 2016;5/11/16;1;0
3111;;;-4,495228;17,784446;Fishpond;Surv Apr-Jun 2016;5/11/16;1;0
3112;;;-4,495677;17,784677;;Surv Apr-Jun 2016;5/11/16;1;0
3113;;;-4,496091;17,78473;;Surv Apr-Jun 2016;5/11/16;1;0
3114;;;-4,496494;17,784899;;Surv Apr-Jun 2016;5/11/16;1;0
3115;;;-4,496829;17,785297;;Surv Apr-Jun 2016;5/11/16;1;0
3116;;;-4,496923;17,785891;;Surv Apr-Jun 2016;5/11/16;1;0
3117;;;-4,4967;17,786717;;Surv Apr-Jun 2016;5/11/16;1;0
3118;;;-4,496562;17,787346;;Surv Apr-Jun 2016;5/11/16;1;0
3119;;;-4,496504;17,787789;;Surv Apr-Jun 2016;5/11/16;1;0
3120;;;-4,496248;17,788258;Muwel village;Surv Apr-Jun 2016;5/11/16;1;0
3121;;;-4,494966;17,686692;;Surv Apr-Jun 2016;5/11/16;1;0
3122;;;-4,494901;17,686688;;Surv Apr-Jun 2016;5/11/16;1;0
3123;;;-4,495247;17,686501;;Surv Apr-Jun 2016;5/11/16;1;0
3124;;;-4,49517;17,686545;;Surv Apr-Jun 2016;5/11/16;1;0
3125;;;-4,495579;17,686235;;Surv Apr-Jun 2016;5/11/16;1;1
3126;;;-4,495469;17,686308;;Surv Apr-Jun 2016;5/11/16;1;0
3127;;;-4,494799;17,686495;;Surv Apr-Jun 2016;5/11/16;1;0
3128;;;-4,494596;17,686422;;Surv Apr-Jun 2016;5/11/16;1;0
