ProvincePoliAdmin;Cheflieux;Proved;Sproved;Territoire;Groupement;Commune;Nom Ecole;Adresse;GPS_latitude;GPS_longitude;GPS_altitude;GPS_precision;Numero SECOPE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 4;BIKORO;BOKENGIA BAINA;BIKORO;EM LOLANGO  ECOLE MATERNELLE;IYEMBE;-1.0683098109439015;18.62194980494678;320.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 4;BIKORO;BONKENGIA BAINA;BIKORO;EM PENDA ECOLE MATERNELLE;EBUNGU MONENE;-1.0680003091692924;18.621913511306047;272.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 4;BIKORO;BONKENGIA BAINA;BIKORO;EM BONZIMBI ECOLE MATERNELLE;BONGILA;-1.0682809352874756;18.621990205720067;319.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 4;BIKORO;BONKENGIA BAINA;BIKORO;EM IBANDO  ECOLE MATERNELLE;LOONGO ;-1.0683200787752867;18.621959947049618;327.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 4;BIKORO;ILOKWA MPELA;BIKORO;EM BOTEKA ECOLE MATERNELLE;BEKOLONGO;-1.0682380618527532;18.621897669509053;310.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 1;BIKORO;BOTUALI;BIKORO;EM BOKONDA ECOLE MATERNELLE;MANKENE;-0.735781816765666;18.134746653959155;296.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 1;BIKORO;IYENZE;BIKORO;EM ITIPO ECOLE MATERNELLE;IYENZE;-0.8283995417878032;18.12279657460749;292.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 1;BIKORO;BOTUALA;BIKORO;EM MOLONGO ECOLE MATERNELLE;BOTUALA;-0.7358067948371172;18.13474447466433;288.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 1;BIKORO;DEBONOM;BIKORO;BOSOMBI  NA  KONGO ECOLE MATERNELLE;BRIXEL;-0.7387293968349695;18.12183148227632;295.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 3;BIKORO;BOFIDJI EST;BIKORO;E.M   YANZO ECOLE MATERNELLE;NKALAMBA;-0.4269607784226537;18.273272272199392;293.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;MBANDAKA 3;MBANDAKA VILLE;WENDJI SECLI;WANGATA;MAMA BONEBE ECOLE MATERNELLE;WENDJI;-0.06227582227438688;18.164895437657833;293.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 3;BIKORO;BOFIDJI OUEST;BIKORO;EM EKELE. ECOLE MATERNELLE;VILLAGE EKELE.;-0.32433061860501766;18.23860689997673;311.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 3;BIKORO;BOFIDJI OUEST;BIKORO;EM BEKENGE ECOLE MATERNELLE;VILLAGE BONGONDE DJOLE;-0.1993142394348979;18.23616952635348;303.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 3;BIKORO;BOFIDJI OUEST;BIKORO;EM ESPOIR 2 ECOLE MATERNELLE;VILLAGE BUYA 1;-0.22201452869921923;18.235177528113127;306.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 2;BIKORO;YOLOYELOKO ;BIKORO;EM BESALA  ECOLE MATERNELLE;BONDONGO;-0.8065133867785335;18.63354256376624;358.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 2;BIKORO;BOSANGA ;BIKORO;EM BUKU ECOLE MATERNELLE;KUMA;-0.780741423368454;18.50050994195044;323.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 2;BIKORO;LOONDO ;BIKORO;EM BOWABI ECOLE MATERNELLE;BOLENDO;-0.7808109931647778;18.50015706382692;314.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 2;BIKORO;BESONGO1;BIKORO;EM BUA ECOLE PRIMAIRE;IKOKO IMPENGE ;-0.7472614198923111;18.42905580997467;322.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 2;BIKORO;LOONDO ;BIKORO;EM AUGUSTIN ECOLE MATERNELLE;IKONGO BAMANGA;-0.9597842395305634;18.525929991155863;326.0;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORD-UBANGI;GBADOLITE;NORD UBANGI;MOBAYI MBONGO;MOBAYI-MBONGO;DONDO;;MOBAYI MBONGO COMPLEXE SCOLAIRE;KOTAKOLI;4.172023865394294;21.671836031600833;551.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 3;BIKORO;BOFIDJI EST;BIKORO;ECOLE MATERNELLE ESPOIR/IKALANGANYA ECOLE MATERNELLE;VILLAGE IKALANGANYA;-0.41962200310081244;18.343889974057674;303.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 3;BIKORO;BOFIDJI EST;BIKORO;EM BOKONDA ECOLE MATERNELLE;VILLAGE ISUKAENANGA;-0.39410338271409273;18.46431822516024;311.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 3;BIKORO;BOFIDJI OUEST;BIKORO;EM. LOKOKA ECOLE MATERNELLE;IKEDJI YAFEKE/6 KM;-0.3483613673597574;18.25181158259511;308.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORD-UBANGI;GBADOLITE;NORD UBANGI;MOBAYI MBONGO;MOBAYI-MBONGO;VOTE;;EM NGALO- BAMBE ECOLE MATERNELLE;KEKONGO;4.178680395707488;21.618535593152046;475.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORD-UBANGI;GBADOLITE;NORD UBANGI;MOBAYI MBONGO;MOBAYI-MBONGO;DONDO;;KOBEREMO GROUPE SCOLAIRE;KOTAKOLI;4.1696053091436625;21.669341828674078;564.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORD-UBANGI;GBADOLITE;NORD UBANGI;MOBAYI MBONGO;MOBAYI-MBONGO;DONDO;;KOTAKOLI ECOLE MATERNELLE;KOTAKOLI;4.169925455935299;21.67176704853773;562.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORD-UBANGI;GBADOLITE;NORD UBANGI;YAKOMA 2;YAKOMA;NZELAMOKE;NEANT;MAMAN  GOGO;ABUMOMBAZI;3.6897983914241195;22.160651106387377;400.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORD-UBANGI;GBADOLITE;NORD UBANGI;YAKOMA 2;YAKOMA;GOGO KAMA;YAKOMA;MON AMI CENTRE ECOLE MATERNELLE;CENTRE COMMERCIAL AU QUARTIER GOGO KAMA;3.6898937355726957;22.157124923542142;407.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORD-UBANGI;GBADOLITE;NORD UBANGI;YAKOMA 2;YAKOMA;GOGO KAMA;YAKOMA;EM MARIE YAZALO COMPLEXE SCOLAIRE;KIBOMANGO/QUARTIER GOGO KAMA;3.6856678314507008;22.16682320460677;390.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORD-UBANGI;GBADOLITE;NORD UBANGI;YAKOMA 2;YAKOMA;MOGBAMO;YAKOMA;EM YANGALUTA ECOLE MATERNELLE;NGBAPELE;3.687949888408184;22.143764421343803;402.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORD-UBANGI;GBADOLITE;NORD UBANGI;YAKOMA 2;YAKOMA;BOBWATO;YAKOMA;MON AMI / MBONDO ECOLE MATERNELLE;MBONDO ;3.714951854199171;22.19548269174993;381.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORD-UBANGI;GBADOLITE;NORD UBANGI;YAKOMA 2;YAKOMA;BOGUGO;YAKOMA;MONAMI 2/BANGELE ECOLE MATERNELLE;BANGELE CENTRE;3.7378383055329323;22.29406686499715;430.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;KIPUKU;IDIOFA;BAKWASAMBA ;NEANT;KI-CHA ECOLE MATERNELLE;VILLAGE BELO ;-5.221166610717773;20.031082928180695;680.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;KIPUKU;IDIOFA;BALAKA;NEANT;KA ECOLE MATERNELLE;BALAKA;-4.857282796874642;19.945180071517825;623.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 2;BOLOMBA 4;BOLOMBA;LINGOY;NEANT;EBOTE ECOLE MATERNELLE;DJOA CENTRE;0.03569081425666809;19.28285381756723;325.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 2;BOLOMBA 1;BOLOMBA;KOMBO;NEANT;BOSO NZALA ECOLE MATERNELLE;BOSONZALA;0.4590640962123871;18.98185422644019;299.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 1;BIKORO;NTOMB ANKOLE;BIKORO;LIKOLANGANYA ECOLE MATERNELLE;MISSION CATHOLIQUE;-0.5898970132693648;18.26603215187788;307.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 1;BIKORO;BONSENDE;BIKORO;BAOLONGO ECOLE MATERNELLE;NIONI/ISALA;-0.6633690465241671;18.291831985116005;316.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 1;BIKORO;BONGINDA;BIKORO;INDJOKE ECOLE MATERNELLE;IYEMBE MONENE;-0.8459480199962854;18.195534897968173;289.0;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 1;BIKORO;BONGINDA;BIKORO;EM LAC NTUMBA ECOLE MATERNELLE;BIKORO 7;-0.7343708490952849;18.134285481646657;276.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 1;BIKORO;BENSONGO 2;NEANT;EM IYEMBE MOKE ECOLE MATERNELLE;BONGOLO N 6;-0.8255387144163251;18.137179920449853;290.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 1;BIKORO;NTOMBA;NEANT;EM MPENDA ECOLE MATERNELLE;MOOTO;-0.7357365544885397;18.134730057790875;292.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;BIKORO 1;BIKORO;BONGINDA;BIKORO;EM YANZO ECOLE MATERNELLE;NGOMBA;-0.7399457367137074;18.14211057499051;298.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 2;BASANKUSU 3;BASANKUSU;BOELA NDEKE ;NEANT;TURPIN ECOLE MATERNELLE;NDEKE CENTRE ;1.0705453902482986;20.024904208257794;316.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 2;BOLOMBA 5;BOLOMBA;GBAMBILE 2;BOLOMBA;EMA BOSAWA ECOLE MATERNELLE;DJONORI;0.1306433603167534;18.680065562948585;304.0;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 2;BOLOMBA 5;BOLOMBA;GBAMBILI1;BOLOMBA;BOFAMBU ECOLE MATERNELLE;MOTUA;0.1524940598756075;18.820551708340645;318.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 2;BOLOMBA 4;BOLOMBA;BONYANGA;NEANT;MPETSI ECOLE MATERNELLE;BEKONDJI;-0.029631326906383038;19.291300512850285;322.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 2;BOLOMBA 4;BOLOMBA;BOKALA;NEANT;IKOMBO ECOLE MATERNELLE;BOKOTE;-0.0858927983790636;19.48179460130632;300.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 2;MAPANGU;ILEBO;BAKUMUBIYAMBU ;MAPANGU;ABBE MAKANDA ECOLE MATERNELLE;VILLAGE  PAYLE;-4.347228733822703;20.167248537763953;379.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 2;MAPANGU;ILEBO;BAKUMUBIYAMBU ;MAPANGU;DAMIEN  MBOMBE ECOLE MATERNELLE;VILLAGE KAYAMBA ;-4.344981713220477;20.09047843515873;524.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 2;MAPANGU;ILEBO;BAKUMUBIYAMBU ;MAPANGU;BAKINGA ECOLE MATERNELLE;VILLAGE  KABOMBO INGALA ;-4.333918523043394;20.079026073217392;512.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 2;MAPANGU;ILEBO;BADINGA BANZADI ;MAPANGU;HIMBA ECOLE MATERNELLE;VILLAGE NGIELUNG ;-4.300203952006996;20.06370554678142;388.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 2;MAPANGU;ILEBO;BAKUMUBIYAMBU ;MAPANGU;BULONGO ECOLE MATERNELLE;VILLAGE POTAMBISHI;-4.605090483091772;20.07458140142262;435.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 2;SUD BANGA;ILEBO;KANYINGA ;NEANT;E M BAMBINO ECOLE MATERNELLE;KANYINGA ;-5.559256332926452;20.47804850153625;623.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 2;SUD BANGA;ILEBO;MABOMBO MAMBUIDJI ;NEANT;KABUANGA/ ITANGA ECOLE MATERNELLE;ITANGA;-5.698265419341624;20.73082105256617;548.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 2;SUD BANGA;ILEBO;BASHIMASONGA;NEANT;E.M NDOMAYI KASHOSHO ECOLE MATERNELLE;BUSHONGO;-5.592478928156197;20.43553490191698;651.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 2;MAPANGU;ILEBO;BAKUMU BIYAMBU ;MAPANGU;NGOMAHIMBA ECOLE MATERNELLE;MAPANGU Ã‰TAT ;-4.428327167406678;20.303367543965578;534.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 2;MAPANGU;ILEBO;BAKUMUBIYAMBU ;MAPANGU;PERE BONAVATURE MADIAU ECOLE MATERNELLE;VILLAGE  KASHIMBA;-4.392995266243815;20.133288335055113;530.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
