ProvincePoliAdmin;Cheflieux;Proved;Sproved;Territoire;Groupement;Commune;Nom Ecole;Adresse;GPS_latitude;GPS_longitude;GPS_altitude;GPS_precision;Numero SECOPE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;KALO;IDIOFA;TSHITSHIRI ;NEANT;MUNENE ECOLE MATERNELLE;NSIM NSAMPER;-4.271538597531617;19.25603105686605;438.0;8.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;KALO;IDIOFA;TSHITSHIRI ;NEANT;LUMBU ECOLE MATERNELLE;SEDZO;-4.0395154897123575;19.176843278110027;394.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;KALO;IDIOFA;TOMISA;PANU;EMA MUZO ECOLE MATERNELLE;PANU SUMBU;-3.8071911362931132;19.149650121107697;351.0;8.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;KALO;IDIOFA;WAMBA;PANU;EMA MUKWALA ECOLE MATERNELLE;MITIMITI;-3.9308158680796623;19.19163566082716;360.0;10.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;MATEKO;IDIOFA;MPEY;KALO;MAMA ECOLE MATERNELLE;VILLAGE NSONGO;-3.9525323314592242;19.03456206433475;388.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;MATEKO;IDIOFA;MPEY;KALO;KINGI ECOLE MATERNELLE;VILLAGE OKAA;-3.9226771658286452;19.02730735950172;372.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;MATEKO;IDIOFA;MABA-MABA 1;PANU;EMA WOZELE;MABA-MABA 1;-4.004697692580521;18.937868429347873;398.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;MATEKO;IDIOFA;BULANGA  _ WI;KALO;LUYONGO ECOLE MATERNELLE;MATEKO  ETAT;-3.992177601903677;18.9264196716249;376.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;MATEKO;IDIOFA;MAKAYABU;PANU;EMA MPAKASA ECOLE MATERNELLE;PANU CITÃ‰ ;-3.799076322466135;19.122459813952446;337.0;9.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;MATEKO;IDIOFA;417;PANU;EPA BIFWANZALA ECOLE MATERNELLE;PANU CITE;-3.8058238802477717;19.116199119016528;353.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;OBALA;IDIOFA VILLE;LUMUMBA;IDIOFA;MAYU ECOLE MATERNELLE;AV.KIKWIT;-4.94263487868011;19.590488523244858;653.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;OBALA;IDIOFA VILLE;MUKANIM;IDIOFA;BIBI ECOLE MATERNELLE;BULUNGU-TSHIOM;-4.674857463687658;19.23330210149288;502.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;OBALA;IDIOFA VILLE;NGALA-LWELE ;IDIOFA;MUSHILA ECOLE MATERNELLE;VILLAGE EYENE-MISENGI;-4.482981911860406;19.647504491731524;492.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
