Site;Operation;DATE_.SETUP;DATE_.COLLECT;In_Out;Males;Females;Unknown;Remarks;distToTargets;NearIntervention;elevChange;trapElev;targetElev;elevDiff
SAK01;T0;7/15/15;7/17/15;IN;0;4;0;; ; ; ;367; ; 
SAK01;T6;2/11/17;2/13/17;IN;0;0;0;;0,0180300449067222;Lukula;0;367;367;0
SAK01;T7;4/30/17;5/2/17;IN;0;0;0;;0,010673134904819;Lukula;0;367;367;0
SAK01;T1;11/14/15;11/16/15;IN;0;0;0;;0,0209102687928135;Lukula;0;367;367;0
SAK01;T4;7/26/16;7/28/16;IN;0;0;0;;0,0180300449067222;Lukula;0;367;367;0
SAK01;T8;7/22/17;7/24/17;IN;0;0;0;;0,00656090642881294;Lukula;0;367;367;0
SAK01;T2;2/6/16;2/8/16;IN;0;0;0;;0,0180300449067222;Lukula;0;367;367;0
SAK01;T5;11/1/16;11/3/16;3 deployments;0;0;0;;0,0180300449067222;Lukula;0;367;367;0
SAK01;T3;4/25/16;4/27/16;IN;0;0;0;;0,0180300449067222;Lukula;0;367;367;0
SAK02;T0;7/15/15;7/17/15;IN;0;0;0;; ; ; ;367; ; 
SAK02;T5;11/1/16;11/3/16;3 deployments;0;0;0;;0,00704158351282929;Lukula;0;367;367;0
SAK02;T8;7/22/17;7/24/17;IN;0;0;0;;0,00621017505400872;Lukula;0;367;367;0
SAK02;T2;2/6/16;2/8/16;IN;0;0;0;;0,00704158351282929;Lukula;0;367;367;0
SAK02;T4;7/26/16;7/28/16;IN;0;0;0;;0,00704158351282929;Lukula;0;367;367;0
SAK02;T3;4/25/16;4/27/16;IN;0;0;0;;0,00704158351282929;Lukula;0;367;367;0
SAK02;T7;4/30/17;5/2/17;IN;0;0;0;;0,00621017505400872;Lukula;0;367;367;0
SAK02;T1;11/14/15;11/16/15;IN;0;0;0;;0,00704158351282929;Lukula;0;367;367;0
SAK02;T6;2/11/17;2/13/17;IN;0;0;0;;0,00704158351282929;Lukula;0;367;367;0
SAK03;T0;7/15/15;7/17/15;IN;0;0;0;; ; ; ;367; ; 
SAK03;T3;4/25/16;4/27/16;IN;0;0;0;;0,0182601074140682;Lukula;0;367;367;0
SAK03;T6;2/11/17;2/13/17;IN;0;0;0;;0,0182601074140682;Lukula;0;367;367;0
