Site;Zone;Zone.Abb;LAT;LONG;Habitat;FirstSurvey;FirstSurveyDate;Count;Total;Operation;DATE_.SETUP;DATE_.COLLECT;In_Out;Males;Females;Unknown;Remarks;distToTargets;NearIntervention;elevChange;trapElev;targetElev;elevDiff
3079;;;-4,492379;17,727587;Fishpond;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;19,7426906835476;Lukula;2270;374;362;12
3080;;;-4,492367;17,727371;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;19,7660074573643;Lukula;2260;374;362;12
3081;;;-4,49446;17,726984;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;19,7410223490181;Lukula;2184;374;362;12
3082;;;-4,495389;17,726956;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;19,7154820623306;Lukula;2264;374;362;12
3083;;;-4,49638;17,72578;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;19,811292178953;Lukula;2274;374;362;12
3084;;;-4,490946;17,70233;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;22,47986524581;Lukula;2205;367;362;5
3086;;;-4,490955;17,702222;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;22,4911665156115;Lukula;2203;367;362;5
3087;;;-4,490765;17,70236;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;22,4819321058188;Lukula;2231;367;362;5
3088;;;-4,490591;17,702498;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;22,4722548281384;Lukula;2267;367;362;5
3089;;;-4,490755;17,702703;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;22,4455129750224;Lukula;2261;367;362;5
3090;;;-4,490681;17,702806;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;22,4366576909994;Lukula;2281;367;362;5
